text,score,label
sangat lengkap fiturnya,-1,negatif
muat halaman maaf dapat salah sistem,-1,negatif
pengin hp baru hp gua pecah parah,-3,negatif
jaga sikap komentar baik hanya aplikasi dapat kembang kalau lu cuman oceh asih keluh enggak asih saran baik saran gua lu beli sono jadi lah orang ikut kembang bukan malah menyumpahin beok emosi kok bawa dalam isi paket enggak lu saja yang ngalamin semua mungkin ngalamin enggak paham system kok ngelunjak adehhh,-8,negatif
respon load lama,-1,negatif
pulsa aku kok hilang,-2,negatif
nya kartu telkomsel bisa pakai jaringanya selalu putus rugi mesarakat,-1,negatif
checkin telkomsel hilang,-1,negatif
sekarang saya selalu keluar aplikasi cara tibatiba,-2,negatif
luar biasa jooos,-1,negatif
luar biasa,-1,negatif
jaring lelet,-1,negatif
kalau gue suka ajaklu enggak suka kurang suka sama apk nyabeli kartu ajaribet bangetgw pakai apk nya biasa enggak ganggu cacat sistemkalian yang kurang sabar,-2,negatif
bang balas dong,-1,negatif
omg bikin lag game doang parah,-1,negatif
tak kasih bintang untuk telkomsel kok kayak begini kok sering ganggu terusgmn ini untuk lanjut bagai jaring no,-1,negatif
kurang free,-1,negatif
harga mahal signal cacat,-1,negatif
jelek banget bohong,-2,negatif
jelek,-1,negatif
jaring telkomsel sekarang jelek banget parah jaring nya kencang dulu kata jaring nomer indonesia nyata lawan,-3,negatif
luar biasa,-1,negatif
keluh kesah sedikit beberapa waktu jaring stabil lot,-1,negatif
luar biasa,-1,negatif
jaring tingkat sering masuk game sering loading lama,-1,negatif
terlalu mahal saya masyarakat biasa tidak punya kerja tetap,-1,negatif
lebih tingkat performa nya yakrna sudah bayar lebih mahal toko belah beli paket nya,-1,negatif
sok far sok good,-2,negatif
sinya bagus paket bagus murah kartu sudah lama kecewa nya cuma mau yang bulan paket kuota mahal memang bulan cuma kuota nya dikit maxsimal gb full kuota utama baru pas,-2,negatif
jaring sekarang agak lemah khusus kab rote ndao,-1,negatif
luar biasa,-1,negatif
sangat bagus untuk jaring sinyal makin parah buruk,-2,negatif
makin kesini makin lelet update mulu ngabisin kuota,-3,negatif
raja larang dek,-1,negatif
wah kena tipu aplikasi nya jelek sekali,-1,negatif
jaringanya baik khusus sulawesi selatan kota parepare makin hari makin jelek gah hubung game freefire,-2,negatif
makin hari harga paket data nya makin naik min sudah pakai aplikasi sudah lama jadi kasih promo,-1,negatif
telkomsel kuota gb tiba hilang di jelas kan,-1,negatif
makin hari makin mahal telkomsel,-2,negatif
mulai lelet,-1,negatif
sayang tempat siyal kadang sering ganggu padahal simcar enggak,-1,negatif
selalu tingkat kualitas jaring jangan lupa sederhana harga,-1,negatif
jauh,-1,negatif
biasa,-1,negatif
suka banget pakai my telkomsel enggak ribet harus ketik panjang kali lebar,-1,negatif
kuota darurat nya terlalu mahal,-1,negatif
paket kurang murah,-1,negatif
susah buka nya aplikasi my telkomsel,-1,negatif
luar biasa,-1,negatif
luar biasa,-1,negatif
luar biasa,-1,negatif
aku registrasi ulang jadi lancar buat internetan,-1,negatif
bagaimana cara tukar voin,-1,negatif
tukar poin jadi saldo linkaja kok min,-1,negatif
telkom jaring enggak nya lemah banget kampung khusus nya banten kampung tingkat dong kualitas nya tankssss,-1,negatif
kasih bintang buat telkomsel segera tanganin masalah sinyal hilang timbul enggak jelas berbulanbulan begini terus tambah gara gara mendung sinyal jadi lelet kan aneh padahal rumah saya dekat kota,-2,negatif
harga bangka belitung turunin mingila keluar telkom ku juta,-1,negatif
bagaimana cara pinjam pulsa darurat,-1,negatif
aplikasi terlalu berat mohon baik,-1,negatif
sesat anja,-1,negatif
banyak klaim pkt grtis cuma chek tiap hari,-1,negatif
woi pihak telkomsel jaring lu benerin ajing mahal jaring kayak taiii babi ngana,-1,negatif
paket makin gila harga nya,-2,negatif
lah pihak telkomselkenapa diperbhrui malah makin sulit jaringanya susah logon aplikasi initolong kebijakanya dong kalo benar kasih bintang limadah tanggung jawab lah atas nyaman sudah minggu enggak masuk aplikasi padahal sinyal full tank mengapa jaring saya kadang hilang kakak wilayah tengeng kulon sangat lot kakak ooe trimakasihh kakak,-1,negatif
telkomsel makin parah paket mahal sinyal tempat gue enggak pakai mau kapai susah minggu lebih tetap lemottelkomsel sial,-3,negatif
jadi malas pakai mytelkomsel biasa klik langsungkok sekarang jadi ribet,-4,negatif
aplikasi makin lama update nya makin bagus,-2,negatif
update terus kiamat,-1,negatif
bagus enggak perlu repot keluar,-2,negatif
paket data nomer ini kok mahal tidak sama nomer telkomsel lain nya,-2,negatif
informasi lengkap,-1,negatif
jaring sangat baguscuma kalo harga paket lebih ekonomisaman kantong my telkomsel ku lemah my telkomsel apabila kuota habis aplikasi my telkomsel bisa akses alias gratisterpaksa cari wifi seperti provider laingratisss dong kan penggunapelangganmasa kena biaya untuk beli kouta apk sekarang jadi berat kadang bug,-1,negatif
paket makin mahal,-1,negatif
lebih cepat tidak bikin repot,-1,negatif
ini di tanpa pakai kuota saya sulit tidak kuota,-2,negatif
fix kalian dowload kalau kartu nya telkom gue habis beli pulsa nih jadi perlu matiin data pulsa bakal tarik,-1,negatif
turun harga paket data untuk jaring telkomsel terlalu lelet,-3,negatif
knapa susah ya buka my telkomsel,-1,negatif
tiada lawan deh pokok mantaab,-1,negatif
kok unli habis jarang langsung lalot,-1,negatif
bagus aplikasi rekomen banget sedikit saran turut saya bunyi suara awal jalan aplikasi tidak perlu tidak bagus baik hapus,-2,negatif
kecewa,-1,negatif
lah biasa,-1,negatif
harus baru pihak telkomsel kartu tidak unlimited nya,-1,negatif
mmk goreng,-1,negatif
selalu tukar poin pernah curiga bukan dasar acak setting sistem,-3,negatif
buat kalian sering asih bintang terus bilang app nya ngeleg bukan salah appnya salah hp lu burick wkwkkwkwk ehhhhh salah,-3,negatif
fitur lumayan lengkap promo paket data di tawar jauh lebih mahal kuota lebih kecil provider lain,-1,negatif
jaring nya makin susah,-2,negatif
luar biasa,-1,negatif
beberapa hari kok susah buka padahal recomended banget hal beli paket internet bonus hari nya apa di hpq,-2,negatif
kurang murah promo nya,-1,negatif
woi jelek jaring mu,-1,negatif
puas tidak hemat,-1,negatif
baru prabayar kouta gb cuma rupiahh,-1,negatif
sangat puas walaupun mati lampu masih internetan main games,-1,negatif
peket terlalu mahal,-1,negatif
parah jaring makin kesiniparah jir kalau bukan malas ganti nomor enggak mau pakai telkomsel jaring nya parah,-5,negatif
ini updatean plis adakan pitur kunci pulsa axis net tidak kurang pulsa dana hidup,-1,negatif
lebih berninovasi ter utama jaring jangan lot walaudi daerah terpencilpunsebab desa sering lama logingnya,-1,negatif
aplikasi indatau kok tanya,-1,negatif
makin lancarprety,-1,negatif
sekarang telkomsel luar biasa erti rakyat tengah bawah thank telkomsel,-1,negatif
sangat jelek sekali percuma donlwad kalo aplikasi my telkomsel,-2,negatif
sudah lama pakaikartu telkomselsudahcocok,-1,negatif
aduh,-1,negatif
telkomsel makin kesini makin lot jaring,-2,negatif
makin jaya,-1,negatif
bagus apk yang kurang nya cuman masalah daily loggin sama ngambil kado padahal sinyal nya bagus muter muter kayak enggak sinyal jadi sering enggak ambil kado nya,-1,negatif
enggak ribet lmyn murah paket,-1,negatif
telkomsel maling kuota sudah beli kuota harga gb malah enggak masuk,-1,negatif
luar biasa,-1,negatif
terpaporit ku jangan lupa undi mytelkomsel,-1,negatif
telkomsel mah paling okdi tiap daerah enggak takut hilang jaring pun desa,-2,negatif
harga paket makin mhal,-1,negatif
beli pulsa paket lain ribet,-1,negatif
hoi gelut yuk kontol,-1,negatif
luar biasa,-1,negatif
luar biasa,-1,negatif
terimakasih my telkomsel enggak susah susah cari paket murah,-2,negatif
sangat benci telkomsel jaring lambat cepat habis pelit lebih baik pindah kartu xl telkomsel,-1,negatif
mana kata kalo donload dpat gb bohong nih telkomsel,-1,negatif
jaring sedikit lot,-1,negatif
banyak asih bintang nyata baca banyak protes masalah sinyal mau kritik apk nya apa sinyal mungkin daerah jelek sinyal,-2,negatif
harap kuota keluarga lama,-1,negatif
fitur baru pernah medawloadnya pulsa sering kurang padahal belum pilih paket mau kecewa lalu saya hapus sakarang saya daonload jangan kecewa lagi plis,-4,negatif
ganggu mulu telkomsel sekarang lebih parah data suka hilang sendiri terus paket enggak sesuai butuh buat anggur enggak jangkau,-1,negatif
ahhhga jelas gim sih cara cek undi kupon telkomsel poin,-1,negatif
bagaimana sih nih koneksi enak buat ngegame malah koneksi tadi jadi aplikasi enggak masalah cuma koneksi,-1,negatif
kurang harga kuota tidak mampu beli kuota telkomsel,-1,negatif
telkomsel makin depan,-1,negatif
lambat sekaliitu dulu,-1,negatif
telkom sih lu sinyal hilang mulu kayak ah lu,-1,negatif
apk dancok dasar,-1,negatif
kok naex yang paket omg,-1,negatif
provider murah sinyal kencang banget bohong,-1,negatif
internet kencengin sedikit dong min,-1,negatif
jaring telkomsel jaring paling jelek usah di pakai lalot jaring setan,-2,negatif
