text,score,label
keren sangat mudah lihat pulsa tau kuota,2,positif
mantap,1,positif
bismillah baik,2,positif
terima kasih telkomsel hari gue promo kuota gb cuma tuker poin sama pulsa kuota gede banget mantap cuy,2,positif
mantap,1,positif
bagus,1,positif
mantap banyak promo dalam aplikasi,2,positif
aplikasi baik lancar kencang banyak paket murah user interface user friendly pokok debes lah knapa minta maaf sih bang puas tuh atas layan,2,positif
bagus,1,positif
cukup baik,1,positif
thank you telkomsel udi gb selamat ulang tahun telkomsel sudah pakai jaring telkomsel tahun walaupun harga naik terus terus,1,positif
akses mana mantap,1,positif
bagus,1,positif
nice,0,positif
aplikasi bagus sangat manfaat guna,2,positif
sangat baik,1,positif
mohon devlover aplikasi cepat selesai masalah eror pas masuk aplikasi nya padahal jaring bagus device hp bagus,1,positif
moga telkomsel selalu jaya makin maju,0,positif
wokeehhh terus banyak paket promonya langgan senang tidak paling yang,1,positif
baik,1,positif
mudah penggunaanmantab,1,positif
sangat memuaaskan,0,positif
tq telkomsel call,0,positif
jitu,0,positif
good,0,positif
lebih gambang ecek kuota,0,positif
sangat baik bantu,2,positif
aplikasi bagus deh manfaat,2,positif
mudah segala,1,positif
benar,1,positif
tetap baik,2,positif
sangat senang mytelkomsel,1,positif
stuck white screen,0,positif
tg,0,positif
sangat bantu beli koutadan hubung paylater bisnis online,1,positif
bagus banget banyak hadiah,3,positif
buka my telkomsel lola banget kadang retri teruspadahal kuota telkomsel banyak di baik jaring nya min,2,positif
baru update erormintolong dong tampil beranda bagi pulsa sama sisa paket enggak munculterus pas mau beli paket pakai pulsa jadi enggak tuilasan muat ulang jawab oke min saran bisa muachacih,0,positif
sih tingkat layan baik langgan,1,positif
baik lancar,1,positif
mudah banyak discon,2,positif
okk telkomsel,0,positif
apk,0,positif
banyak promo mnarik,1,positif
aku sangat suka aplikasi,1,positif
mantap,1,positif
kasih bintang dulu biar semangat maksimal kerja mytelkomsel walaupun apk nya sering errortapi sangat membantusemoga depan lebih baik,5,positif
good apks,0,positif
mantap,1,positif
sangat bagus,1,positif
be ur self and never surender,0,positif
mantap,1,positif
nenglak kali telkomsel,0,positif
bagus,1,positif
baik sekali,1,positif
mudah simpel,1,positif
moga manfaat,1,positif
puaaaaaas,0,positif
keren,1,positif
selalu jadi depan our best friends,0,positif
keren banget,1,positif
jaring baik panjang masa,0,positif
keren habis mah telkomsel,1,positif
bagus sekali,1,positif
bagus,1,positif
good job kenapa ada fitur belum buka lagi upgrade system trmksh,0,positif
my telkomsel ku bagus sih enggak kayak komen finesh alay banget,1,positif
aplikasi sngat bagus,1,positif
keren,1,positif
bantu banget apk bagus sngat lengkap hadiah banyak,3,positif
moga undi,0,positif
telkomsel baik,1,positif
banyak kejut hadiah,1,positif
bagus,1,positif
sangat bagus,1,positif
baik,1,positif
mudah banget,1,positif
oc mntaplah,0,positif
mantap,1,positif
wlw telkomsel mahal jaring nya ok lah,1,positif
goodd,0,positif
aplikasi bagus menu nya keren min dong kalo isi pulsa minimal kasih bonus kuota,4,positif
alhamdulillah kuota keluarga lagi bintang dong,2,positif
transaksi mantap,1,positif
good,0,positif
my telkomxel bagustinggal tingkat kwalitas jangkau utama buat yang domisili jauh kota maju terus my telkomxelsukses selalu,0,positif
moga selalu muas,0,positif
sangat bagus,1,positif
bagus,1,positif
hebat,1,positif
bagus,1,positif
apk bagus,1,positif
good,0,positif
aku ganteng enggak lawan,0,positif
mantap,1,positif
puas keren,1,positif
top banget,1,positif
bagus,1,positif
sangat muas,0,positif
mantap,1,positif
lah,0,positif
sangat bagus,1,positif
guna aktif telkomselmohon mudah beli paket saktiterima kasih,3,positif
baik,1,positif
tiap kali isi ulanng pulsa selalu potong nila ribu pulsa dan sangat sayang,1,positif
mantappu,0,positif
mantab my telkomsel,1,positif
gatut wahyu,1,positif
banyak tawar murah,2,positif
mantap,1,positif
bagus,1,positif
sangat baik,1,positif
good,0,positif
oke,0,positif
good,0,positif
terima kasih telkomsel sangat bantu sekali,3,positif
mantap,1,positif
mantap,1,positif
bagus,1,positif
bagus,1,positif
mantap,1,positif
baik,1,positif
mantap,1,positif
mantap,1,positif
mohon baik jaring internet desa karena sangat lelet semenjak tower telkomsel,0,positif
mantap,1,positif
bagus mantap pokok,2,positif
mantap bosss,1,positif
sangat bagus,1,positif
baik transaksi via dana,1,positif
sangat puas,0,positif
kalau paket murah,0,positif
bagus,1,positif
sang at puas,0,positif
apkh benar pakai gb gratis,2,positif
mantap,1,positif
bagus,1,positif
wah murah banget,1,positif
mantaf,0,positif
senang banget enggak ribet banyak hadiahxmurah pokok mantap,2,positif
simple,0,positif
apl nya sangat bagus gampang guna,2,positif
bagus jaring enggak ngeleg,1,positif
mantap,1,positif
lumayan,1,positif
keren,1,positif
sangat batu langgan,0,positif
punya,0,positif
sangat bantu,1,positif
wah app nya sangat bagus buat kalian mau beli paket internet murah terima kasih mytelkomsel,4,positif
mantap,1,positif
sangat baik muas,1,positif
tampil aplikasi ok lot pas cek ada bonus kuota rajin cek aplikasi good job telkomsel saran paket data dimurahin signal kencang kuat semua tempat seluruh indonesia cinta,3,positif
bagus,1,positif
mantap,1,positif
bagus,1,positif
bagus sekali,1,positif
banget,0,positif
sangat bagus,1,positif
bagus,1,positif
mantap,1,positif
telkomsel muas,0,positif
praktis mudah guna nya,2,positif
full,0,positif
telkomsel paling oke,0,positif
kalo perpnjng maksa aktip slallu ggal cukup bagus apl,1,positif
mantap,1,positif
puas,0,positif
mantap tahan kan layan maksimal,0,positif
bagus,1,positif
jarang banget kecewa pakai telkomsel jadi sukses terus buat telkomsel,0,positif
mantap,1,positif
mantap,1,positif
harap layan lebih tingkat,0,positif
oke,0,positif
mantap,1,positif
bagus,1,positif
banget en keren,1,positif
komunikasi baik,2,positif
good,0,positif
pliss dong jaring telkomsel ada sini baik mohon pliss,1,positif
bagus,1,positif
hbd terima kasih kuota gb nya,2,positif
baqus,0,positif
mantap,1,positif
wokey,0,positif
sangat bantu,1,positif
good,0,positif
barusan gb,0,positif
sangat bantu,1,positif
kuota nya murah,0,positif
beri lah paket gratis bang plis,1,positif
oke,0,positif
mantap bos p,1,positif
very good,0,positif
mantul,0,positif
good app,0,positif
aplikasi nya sangat bagus haraga paket nya sangat murah,1,positif
aplikasi mantap sangat mudah untuk cek kuotapulsa banyak promonya,3,positif
mantap,1,positif
jamstggzvocer wifi gratis,1,positif
sangat bantu telkomsel,1,positif
telkomsel its the best,0,positif
good,0,positif
kasih gratis lah pliss,2,positif
my telkomsel cara mudah beli paket pulsa,0,positif
aplikasi sangat bagus,1,positif
good,0,positif
bagus,1,positif
paket murah lagikami umr,0,positif
asyik beli kouta enggak ribet selalu sedia,0,positif
buru download aplikasi my telkomsel bagus banget,1,positif
bagus,1,positif
sangat baik aplkasi nya bagus,2,positif
amazing,0,positif
mantaaal,0,positif
top,1,positif
terimakasih telkomsel beri layan baik terimakasih telkom sel,1,positif
bagus,1,positif
sangat baik,1,positif
bagus,1,positif
max up,0,positif
keren,1,positif
sangat manfaat suka,2,positif
sungguh baik skalibonusan tiap hari hingga puluh gbthanks,2,positif
moga sukses selalu,1,positif
murah,0,positif
aplikasi nya bagus muas,1,positif
good,0,positif
nice,0,positif
keren,1,positif
sangat bantu,1,positif
jos bos ku,0,positif
bagus banget,1,positif
mangap,0,positif
bagus,1,positif
baik,1,positif
bagus,1,positif
mantap,1,positif
the best,0,positif
bagus sekali banyak hadiah,3,positif
telkomsel sip,0,positif
mantap,1,positif
baik,1,positif
jaya selalu,0,positif
jariganya baik supaya orang desa plosok mengunakan kartu tekomsel,1,positif
sinyal bagus banget,1,positif
moga lebih baik yang sukses selalu,2,positif
alhamdulillah,1,positif
anjayy,0,positif
keren semangat,2,positif
tess,0,positif
enggak di dkre waja,0,positif
thq,0,positif
nice provider,0,positif
oll the best,0,positif
puas mantap,1,positif
telkomsel nikmat mana meski dalam sangat puas jaring,1,positif
sangat bagus,1,positif
good,0,positif
good,0,positif
paket mahal,0,positif
sinyal jelas terang mana,1,positif
mantap,1,positif
nice,0,positif
telkolsel memang,0,positif
sangat muas,0,positif
oke,0,positif
