"","x"
"1","text"
"2","keren dan sangat mudah lihat pulsa tau kuota"
"3","mantap"
"4","bismillah baik "
"5","terima kasih telkomsel hari ini gue dapat promo kuota gb cuma tuker poin sama pulsa dapat kuota gede banget mantap cuy"
"6","mantap"
"7","bagus"
"8","mantap banyak promo di dalam aplikasinya"
"9","aplikasi terbaik lancar kencang banyak paket murahan user interface user friendly pokoknya debes lah knapa meminta maaf sih bangkan saya puas tuh atas pelayanannya"
"10","bagus"
"11","cukup baik"
"12","thank you telkomsel dapat udian gb selamat ulang tahun untuk telkomsel saya sudah pakai jaringan telkomsel tahun walaupun harganya naik terus menerus"
"13","dapat diakses dimana pun mantap"
"14","bagus"
"15","nice"
"16","ok"
"17","aplikasi bagus sangat bermanfaat untuk digunakan"
"18","sangat baik"
"19","mohon devlover aplikasi ini cepat selesaikan masalah eror pas masuk di aplikasi nya padahal jaringan bagus dan device hp bagus"
"20","semoga telkomsel selalu jaya dan semakin maju"
"21","wokeehhh terus perbanyak paket promonya agar pelanggan senang dan tidak berpaling ke yang lain"
"22","terbaik"
"23","kemudahan penggunaanmantab"
"24","ya"
"25","sangat memuaaskan"
"26","tq telkomsel call"
"27","jitu"
"28","sangat lengkap fiturnya"
"29","good"
"30","lebih gambang mengecek kuota"
"31","ok"
"32","sangat baik dan membantu kami"
"33","aplikasinya bagus deh bermanfaat"
"34","memudahkan segalanya"
"35","ok benar"
"36","tetap yang terbaik"
"37","sangat senang menggunakan mytelkomsel"
"38","stuck di white screen"
"39","tg"
"40","sangat membantu dalam pembelian koutadan bisa terhubung dengan paylater untuk bisnis online "
"41","bagus banget banyak hadiah"
"42","buka my telkomsel lola banget kadang retri teruspadahal kuota telkomsel banyak tolong di perbaiki jaringan nya min"
"43","baru update tapi erormintolong dong tampilan beranda yang bagian pulsa sama sisa paket enggak munculterus pas mau beli paket pakai pulsa jadi enggak bisa tuilasan muat ulang jawaban oke min sarannya sudah bisa muachacih"
"44","ok sih tingkatkan pelayanan terbaik untuk pelanggan"
"45","baik lancar"
"46",""""""
"47","memudahkan dan banyak discon"
"48","okk telkomsel"
"49","apk"
"50",""""""
"51",""""""
"52","banyak promo mnarik"
"53","aku sangat suka dengan aplikasi ini"
"54","mantap"
"55","kasih bintang dulu biar semangat memaksimalkan kinerja ya mytelkomsel walaupun apk nya sering errortapi sangat membantusemoga kedepannya lebih baik"
"56","tidak dapat memuat halaman maaf terdapat kesalahan sistem"
"57","good apks"
"58","mantap"
"59","sangat bagus"
"60","be ur self and never surender"
"61","mantap"
"62","nenglak kali telkomsel "
"63","bagus"
"64","baik sekali"
"65","mudah dan simpel"
"66","semoga bermanfaat"
"67","pengin hp baru hp gua sudah pecah parah"
"68","puaaaaaas"
"69","keren"
"70","selalu jadi yang terdepan our best friends"
"71","keren banget"
"72","di jaga bersikap komentar yang baik ini hanya aplikasi yang dapat berkembang kalau lu pada cuman mengoceh dan mengasih keluhan saja enggak bisa mengasih saran yang baik saran gua lu beli di saja sono jadi lah orang yang ikut serta dalam pengembangan bukan malah menyumpahin beok emosi kok di bawa dalam pengisian paket enggak lu saja yang ngalamin semua pengguna mungkin ngalamin enggak paham dengan system kok ngelunjak adehhh"
"73","jaringan terbaik sepanjang masa"
"74","keren habis mah telkomsel"
"75","bagus sekali"
"76","respon load lama"
"77","bagus"
"78","good job tapi kenapa masih ada fitur yang belum bisa kebuka apakah lagi upgrade system trmksh"
"79","my telkomsel ku bagus saja sih enggak kayak yang komen finesh alay banget"
"80","aplikasi sngat bagus"
"81","untuk keren"
"82",""""""
"83","membantu banget apk dan bagus sngat lengkap hadiah juga banyak"
"84","semoga dapat undian"
"85","telkomsel yang terbaik"
"86","banyak kejutan hadiah lainnya"
"87","bagus"
"88","sangat bagus"
"89","baik"
"90","pulsa aku kok hilang"
"91","memudahkan banget"
"92","oc juga mntaplah"
"93","mantap"
"94","wlw telkomsel mahal tapi jaringan nya masih ok lah"
"95","goodd"
"96","aplikasi bagus menu nya juga keren min tolong dong kalo isi pulsa minimal dikasih bonus kuota"
"97","alhamdulillah kuota keluarga ada lagi bintang dong"
"98","transaksinya mantap"
"99","good"
"100","my telkomxel sudah bagustinggal tingkatkan lagi kwalitas jangkauan terutama buat pengguna yang berdomisili agak jauh dari perkotaan maju terus my telkomxelsukses selalu"
"101","semoga selalu memuaskan"
"102","sangat bagus"
"103","bagus"
"104","hebat"
"105","bagus"
"106",""""""
"107","apk yang bagus"
"108","good"
"109","aku ganteng enggak ada lawan"
"110",""""""
"111","mantap"
"112","puas dan keren"
"113","top banget"
"114","bagus"
"115","sangat memuaskan"
"116","mantap"
"117","ok lah"
"118","ok"
"119","sangat bagus"
"120","saya pengguna aktif telkomselmohon kemudahan dalam pembelian paket saktiterima kasih"
"121",""""""
"122","baik"
"123","setiap kali saya isi ulanng pulsa selalu terpotong senilai ribu pulsa tanpa dan itu sangat di sayangkan "
"124","mantappu"
"125","mantab my telkomsel"
"126","gatut wahyu"
"127","banyak penawaran murah "
"128","mantap"
"129","bagus"
"130","sangat baik"
"131",""""""
"132","ok"
"133","good"
"134","oke"
"135","good"
"136","terima kasih telkomsel karena sangat membantu sekali"
"137","mantap"
"138","mantap"
"139","agak nya kartu telkomsel tidak bisa di pakai lagi jaringanya selalu putus merugikan mesarakat saja"
"140","bagus"
"141","bagus"
"142","mantap"
"143","ok"
"144","baik"
"145","ok"
"146","ok"
"147","mantap"
"148","mantap"
"149","mohon perbaikan jaringan internet di desa saya karena sangat lelet semenjak ada tower telkomsel"
"150","mantap"
"151","bagus mantap pokoknya"
"152","mantap bosss"
"153","sangat bagus"
"154","ok"
"155","tolong perbaiki transaksi via dana"
"156","sangat puas"
"157","ok"
"158","kalau bisa paket yang murah"
"159","bagus"
"160","sang at puas"
"161","apkh benar ada pakai gb gratis"
"162","mantap"
"163","bagus"
"164","wah murah banget"
"165","mantaf"
"166","senang banget enggak ribet banyak hadiahxmurah pokoknya mantap"
"167","simple"
"168","apl nya sangat bagus dan gampang di gunakan"
"169","bagus jaringannya enggak ngeleg"
"170","mantap"
"171","lumayan"
"172","keren"
"173","sangat membatu pelanggan"
"174","ok"
"175","ok punya"
"176","sangat membantu"
"177","wah app nya sangat bagus buat kalian yang mau beli paket internet murah terima kasih mytelkomsel"
"178","mantap"
"179","sangat baik dan memuaskan"
"180","tampilan aplikasi sudah ok tidak lemot lagi pas cek ini ada bonus kuota yang rajin cek ini aplikasi good job telkomsel saran saja paket data dimurahin lagi signal kencang dan kuat di semua tempat seluruh indonesia tercinta"
"181","bagus"
"182","checkin telkomsel hilang"
"183","mantap"
"184","bagus "
"185","bagus sekali"
"186","ok banget"
"187","sangat bagus"
"188","bagus"
"189","kenapa sekarang ini saya selalu keluar dari aplikasi secara tibatiba"
"190","mantap"
"191","telkomsel memuaskan"
"192","praktis dan mudah bagi pengguna nya"
"193","ok full"
"194","telkomsel paling oke"
"195","kalo perpnjng maksa aktip slallu ggal tapi cukup bagus apl ini"
"196","mantap"
"197","luar biasa jooos"
"198","puas"
"199","mantap pertahan kan pelayanan maksimal"
"200","bagus"
"201","jarang banget kecewa pakai telkomsel jadi sukses terus buat telkomsel "
"202","mantap"
"203","mantap"
"204","harap pelayanannya lebih ditingkatkan"
"205","oke"
"206","mantap"
"207","bagus"
"208","ok banget en keren"
"209","komunikasi terbaik"
"210","good"
"211","pliss dong jaringan telkomsel lagi ada disini diperbaikilah kumohon pliss"
"212","bagus"
"213","hbd ke terima kasih kuota gb nya"
"214","baqus"
"215","mantap"
"216","wokey"
"217","sangat membantu"
"218","good"
"219","barusan dapat gb"
"220","sangat membantu"
"221","ok"
"222","kuota nya murah"
"223","beri lah paket gratis bang plis"
"224","oke"
"225","mantap bos p"
"226","very good"
"227","mantul"
"228","good app"
"229","aplikasi nya sangat bagus dan haraga paket nya sangat murah"
"230","aplikasinya mantap sangat mudah penggunaannya untuk cek kuotapulsa dan banyak promonya"
"231","mantap"
"232","jamstggzvocer wifi gratis"
"233","sangat membantu pengguna telkomsel"
"234","telkomsel its the best "
"235","good"
"236","kasih gratisan lah pliss"
"237","my telkomsel cara mudah beli paket dan pulsa"
"238","aplikasi yang sangat bagus"
"239","good"
"240","bagus"
"241","tolong paket dipermurah lagikami umr ini"
"242","asyik beli kouta enggak ribet selalu tersedia"
"243","buruan download aplikasi my telkomsel bagus banget"
"244","bagus"
"245","sangat baik aplkasi nya bagus"
"246","amazing "
"247","mantaaal"
"248","top"
"249","terimakasih telkomsel telah memberikan pelayan yang baik terimakasih telkom sel"
"250","bagus"
"251","sangat baik"
"252","bagus"
"253","max up"
"254","keren"
"255","ok"
"256","sangat bermanfaat saya suka "
"257","luar biasa"
"258","sungguh baik skalibonusan tiap hari hingga puluhan gbthanks"
"259","semoga sukses selalu"
"260","karena murah"
"261","aplikasi nya bagus dan memuaskan"
"262","jaringan lelet"
"263","good"
"264","nice"
"265","kalau gue suka ajaklu enggak suka atau kurang suka sama apk nyabeli kartu lain ajaribet bangetgw pakai apk nya biasa saja enggak ada gangguan atau cacat sistemkalian saja yang kurang sabar"
"266","bang balas dong"
"267","keren"
"268","sangat membantu"
"269","jos bos ku"
"270","bagus banget"
"271","mangap"
"272","bagus"
"273","baik"
"274","bagus"
"275","mantap"
"276","the best"
"277","bagus sekali banyak hadiah"
"278","telkomsel sip"
"279","mantap"
"280","baik"
"281","jaya selalu"
"282","tolong jariganya diperbaiki lagi supaya orang yang didesa atau plosok bisa mengunakan kartu tekomsel"
"283","sinyal bagus banget"
"284","semoga lebih baik dari yang sebelumnya sukses selalu"
"285","alhamdulillah saja"
"286","anjayy"
"287","omg bikin lag game doang parah"
"288","keren semangat"
"289","tess"
"290","enggak bisa di dkre waja"
"291","thq"
"292","nice provider "
"293","oll the best"
"294","puas mantap"
"295","telkomsel bisa dinikmati dimanapun meskipun di pedalaman sangat puas dengan jaringannya"
"296","sangat bagus"
"297","good"
"298","good"
"299","paket mahal"
"300","sinyal jelas dan terang dimana saja"
"301","mantap"
"302","nice"
"303","telkolsel memang ok"
"304","sangat memuaskan"
"305","oke"
"306","terima kasih developer my telkomsel saya sebagai pengguna baru aplikasi ini sangat senang karena di berikan bonus kuota gratis bagi pengguna baru seperti saya ini jadi buat kalian yang belum download ayo cepatan download dijamin enggak bakalan rugi"
"307","bagusssss"
"308","good"
"309","aplikasi sangat bagus"
"310","good"
"311","sangat bagus"
"312",""""""
"313","selalu langganan telkomsel halo untuk keluarga bayarnya jadi satu rekening suami hahahahahaa "
"314","ok"
"315","ok lebih mudah"
"316","mantap"
"317","apk nya bagus tapi agak jelek juga"
"318","baik"
"319","bantu sinyal lebih di optimalkan lagi"
"320","menurut saya penguna aplikasi ini menurut saya aplikasi bagus lebih dari cukup untuk paketannya memang rada mahal tapi ya di bandingkan dengan paketan yang biasa malah lebih baik di apk ini menurut saya bagus pokoknya top mohon di baguskan apk ini supaya lebih bagus kedepanya saya sangat puas untuk apk sekarang"
"321","mantap telkomsel"
"322","walau pun paket nya mahal tapi tetap pakai telkomsel btw isin pulsa dong"
